user,string,anger,fear,surprise,sadness,joy,disgust,positive,negative,neutral,ambiguous,bad_data
anne,"Yeah, exactly and the cat is that part of it, but it's happy",0,0,0,0,1,0,1,0,0,0,0
anne,"He talked about UFOs and was completely fascinated with the hillside stranglers, which were two at the time active serial killers in Los Angeles",0,0,0,0,0,1,0,0,1,0,0
anne,"I know he had his struggles against Kawhi and the Eastern Conference Finals, but I have to I have to say I'm one of their phones and I believe they will win the championship of Kauai did not sign with the Lakers",0,0,0,0,1,0,0,0,1,0,0
anne,"I'm not preaching girls, but I just wrote three things that I know to be true of color",0,0,0,0,0,0,0,0,1,0,0
anne,If you'll notice give me a verse for of the scripture,0,0,0,0,0,0,1,0,0,0,0
anne,"They might be poking in their spine and say, you know, do you",0,0,0,0,0,1,0,1,0,0,0
anne,Remember everything about later became the mayor of New York City,0,0,0,0,0,0,0,0,0,1,0
anne,Can you confirm that all of your doors and windows are locked stay on the phone with me,0,1,0,0,0,0,0,1,0,0,0
anne,"Yeah, Brooklyn didn't do good this",1,0,0,0,0,0,0,1,0,0,0
anne,"People that like girls that make the same dancing videos over and over they literally like 47 views and I'm like, okay, that's you're not getting any views on that",0,0,0,0,0,1,0,1,0,0,0
anne,"If you have intentions, right? Whether that's just a share a smile",0,0,0,0,1,0,1,0,0,0,0
anne,That's all for this review on giant cell tumor,0,0,0,0,0,0,0,0,1,0,0
anne,"It's bringing me back to like this anxiety of being in my University lectures and thinking where do I want to go with this? You know, what do I want to do? And like I don't I don't I don't mean to say anything negative about westerns",0,1,0,0,0,0,0,1,0,0,0
chandnishah,I hit five and I hit unnecessary sort of,0,0,0,0,0,0,0,1,0,0,1
chandnishah,This is going to be like that,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"But yeah moving on to our next article, which is an article by polygon titled influencers plans see a lot about epic game stores vision of itself",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"Yeah, white white white Chuck done, which like nothing wrong with that",0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,We'll be right back after this here on 88,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,Like you can't be like they tossed it so far behind him that hit you are,1,0,0,0,0,0,0,1,0,0,0
Alex Drossos,I have I definitely can agree with trying to separate yourself from the omnipotency of the author as the author being one of the key parts to creating a good mystery in your setting for the mysticisms any other thoughts of Chris like it also my,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,We'll see you next time,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,"The introduction in any stage of cancer whether stage 1 or stage 4 and even if someone is receiving chemo radiation, and that's what they chose to do",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,All right in the news we got Pentatonix Kevin,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,We'll see how it goes,0,0,0,0,0,0,0,0,0,1,0
